gene_name,ENTREZID
Zm00001d018976,542082
Zm00001d020182,542083
Zm00001d022614,542084
Zm00001d010646,542085
Zm00001d043682,542087
Zm00001d004734,542088
Zm00001d011956,542089
Zm00001d002787,542090
Zm00001d029091,542091
Zm00001d054057,542092
Zm00001d051214,542093
Zm00001d015036,542094
Zm00001d020799,542095
Zm00001d032990,542096
Zm00001d022488,542097
Zm00001d026231,542098
Zm00001d034188,542099
Zm00001d039039,542100
Zm00001d040997,542101
Zm00001d038541,542102
Zm00001d051590,542103
Zm00001d033745,542104
Zm00001d021584,542105
Zm00001d047135,542106
Zm00001d042536,542107
Zm00001d035037,542108
Zm00001d000184,542109
Zm00001d017126,542112
Zm00001d045352,542113
Zm00001d016855,542114
Zm00001d024245,542115
Zm00001d046599,542116
Zm00001d048709,542117
Zm00001d019573,542118
Zm00001d011691,542123
Zm00001d039750,542124
Zm00001d043696,542125
Zm00001d042697,542126
Zm00001d029151,542127
Zm00001d025944,542128
Zm00001d017391,542129
Zm00001d013895,542130
Zm00001d040189,542131
Zm00001d045209,542132
Zm00001d024843,542136
Zm00001d052136,542137
Zm00001d021826,542138
Zm00001d043477,542139
Zm00001d034035,542140
Zm00001d022434,542142
Zm00001d024807,542143
Zm00001d047349,542144
Zm00001d053446,542145
Zm00001d042416,542146
Zm00001d052598,542147
Zm00001d003108,542148
Zm00001d013267,542152
Zm00001d015279,542153
Zm00001d020557,542154
Zm00001d046767,542155
Zm00001d032230,542156
Zm00001d008641,542158
Zm00001d041679,542159
Zm00001d050616,542160
Zm00001d014903,542162
Zm00001d054067,542163
Zm00001d011876,542164
Zm00001d015459,542166
Zm00001d031958,542168
Zm00001d012969,542169
Zm00001d014671,542170
Zm00001d040278,542172
Zm00001d025063,542174
Zm00001d000302,542176
Zm00001d040446,542177
Zm00001d014343,542179
Zm00001d034018,542181
Zm00001d010462,542182
Zm00001d009103,542184
Zm00001d045544,542185
Zm00001d034571,542187
Zm00001d043992,542188
Zm00001d021136,542189
Zm00001d016783,542190
Zm00001d049042,542191
Zm00001d035817,542192
Zm00001d038704,542193
Zm00001d031688,542194
Zm00001d003379,542195
Zm00001d017560,542197
Zm00001d021403,542198
Zm00001d002654,542199
Zm00001d020552,542202
Zm00001d012820,542205
Zm00001d010406,542206
Zm00001d012764,542209
Zm00001d037950,542211
Zm00001d052595,542212
Zm00001d043175,542213
Zm00001d017958,542214
Zm00001d048050,542215
Zm00001d038870,542216
Zm00001d007383,542217
Zm00001d034420,542220
Zm00001d038625,542221
Zm00001d047743,542222
Zm00001d002540,542224
Zm00001d036416,542225
Zm00001d006479,542226
Zm00001d028582,542227
Zm00001d034387,542228
Zm00001d013098,542229
Zm00001d027511,542230
Zm00001d041711,542232
Zm00001d000316,542233
Zm00001d013074,542237
Zm00001d016684,542238
Zm00001d043158,542239
Zm00001d033472,542240
Zm00001d013631,542241
Zm00001d014842,542243
Zm00001d037737,542244
Zm00001d053597,542245
Zm00001d028806,542246
Zm00001d047253,542247
Zm00001d006651,542248
Zm00001d050133,542249
Zm00001d033580,542250
Zm00001d051420,542251
